1,1,10000,8,m
2,2,8000,8,m
3,3,6500,7,m
4,5,5200,6,m
5,9,4000,5,m
6,13,1750,3,m
7,25,500,2,m
8,99,500,0,m
9,1,10000,7,f
10,2,8000,7,f
11,3,6500,6,f
12,5,5200,5,f
13,9,3300,4,f
14,13,1750,2,f
15,99,1750,0,f
